algoritmo,np,workers,N,nH,rep,tiempo_us
FxT,4,3,1536,2,21,3612034
FxT,4,3,1536,2,22,3279445
FxT,4,3,1536,2,23,3484691
FxT,4,3,1536,2,24,3320955
FxT,4,3,1536,2,25,3557698
FxT,4,3,1536,2,26,3347797
FxT,4,3,1536,2,27,3399055
FxT,4,3,1536,2,28,3298065
FxT,4,3,1536,2,29,3370598
FxT,4,3,1536,2,30,3364425
FxT,4,3,1536,4,1,3048952
FxT,4,3,1536,4,2,3040975
FxT,4,3,1536,4,3,3051867
FxT,4,3,1536,4,4,3051426
FxT,4,3,1536,4,5,3104217
FxT,4,3,1536,4,6,3038943
FxT,4,3,1536,4,7,3069949
FxT,4,3,1536,4,8,3026037
FxT,4,3,1536,4,9,3057774
FxT,4,3,1536,4,10,3090483
FxT,4,3,1536,4,11,3064147
FxT,4,3,1536,4,12,3066725
FxT,4,3,1536,4,13,3128752
FxT,4,3,1536,4,14,3126014
FxT,4,3,1536,4,15,3123344
FxT,4,3,1536,4,16,3099914
FxT,4,3,1536,4,17,3120271
FxT,4,3,1536,4,18,3130733
FxT,4,3,1536,4,19,3165939
FxT,4,3,1536,4,20,3094805
FxT,4,3,1536,4,21,3075258
FxT,4,3,1536,4,22,3097121
FxT,4,3,1536,4,23,3094820
FxT,4,3,1536,4,24,3099265
FxT,4,3,1536,4,25,3121154
FxT,4,3,1536,4,26,3087660
FxT,4,3,1536,4,27,3100657
FxT,4,3,1536,4,28,3193260
FxT,4,3,1536,4,29,3257499
FxT,4,3,1536,4,30,3158559
